epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,7565.54,0.80627,0.72767,1.34059,0.93451,0.88928,0.94998,0.73758,0.83536,0.53105,1.37607,0.002971,0.002971,0.002971
73,7670.79,0.80388,0.71732,1.33742,0.92159,0.89807,0.95067,0.73865,0.83666,0.53145,1.37372,0.002872,0.002872,0.002872
74,7776.06,0.80349,0.72499,1.34141,0.91646,0.90282,0.95079,0.7377,0.83412,0.53045,1.37265,0.002773,0.002773,0.002773
75,7881.06,0.79726,0.71928,1.33283,0.92627,0.89744,0.94928,0.73953,0.82982,0.52765,1.37302,0.002674,0.002674,0.002674
76,7986.18,0.80157,0.71553,1.34138,0.92563,0.89433,0.94936,0.73945,0.82972,0.5277,1.37157,0.002575,0.002575,0.002575
77,8090.85,0.79497,0.71068,1.3307,0.9266,0.89733,0.94972,0.73994,0.83215,0.53048,1.37388,0.002476,0.002476,0.002476
78,8195.98,0.79134,0.706,1.32984,0.92304,0.89745,0.95094,0.74206,0.83187,0.53003,1.37291,0.002377,0.002377,0.002377
79,8300.95,0.79067,0.70193,1.32681,0.91983,0.89978,0.95052,0.74269,0.8295,0.52872,1.36999,0.002278,0.002278,0.002278
80,8405.79,0.79647,0.71112,1.33555,0.92128,0.901,0.95034,0.74246,0.82621,0.52744,1.36785,0.002179,0.002179,0.002179
81,8510.39,0.7799,0.68896,1.31876,0.92428,0.89672,0.95101,0.74268,0.82638,0.52668,1.3673,0.00208,0.00208,0.00208
82,8615.47,0.77168,0.68743,1.3163,0.9252,0.89525,0.95143,0.74305,0.82403,0.52557,1.36446,0.001981,0.001981,0.001981
83,8720.41,0.77812,0.68805,1.3209,0.92713,0.89567,0.95108,0.74372,0.8225,0.52405,1.36373,0.001882,0.001882,0.001882
84,8825.38,0.77822,0.67919,1.31806,0.91771,0.90208,0.9508,0.7447,0.82125,0.523,1.36483,0.001783,0.001783,0.001783
85,8930.78,0.77144,0.68138,1.31382,0.92003,0.90009,0.95124,0.74431,0.82089,0.5223,1.36332,0.001684,0.001684,0.001684
86,9035.72,0.77602,0.68012,1.31798,0.92844,0.89372,0.95138,0.74455,0.81914,0.52144,1.36123,0.001585,0.001585,0.001585
87,9140.8,0.76637,0.67233,1.312,0.92854,0.89517,0.95172,0.74584,0.81852,0.52062,1.35984,0.001486,0.001486,0.001486
88,9246.11,0.76357,0.66783,1.30771,0.92648,0.89641,0.95166,0.74623,0.81839,0.51906,1.35917,0.001387,0.001387,0.001387
89,9351.59,0.76231,0.66898,1.30757,0.92415,0.89851,0.95162,0.74668,0.81755,0.51795,1.35813,0.001288,0.001288,0.001288
90,9457.06,0.7668,0.66657,1.30707,0.92082,0.90261,0.95261,0.74702,0.81609,0.51828,1.35542,0.001189,0.001189,0.001189
91,9563.83,0.65047,0.4481,1.2735,0.92211,0.90177,0.95272,0.74655,0.81569,0.51661,1.35465,0.00109,0.00109,0.00109
92,9668.13,0.6378,0.42402,1.25937,0.92334,0.90434,0.95351,0.74868,0.81474,0.51409,1.3547,0.000991,0.000991,0.000991
93,9772.51,0.63481,0.41701,1.25458,0.92568,0.90569,0.95466,0.74864,0.81361,0.51252,1.35429,0.000892,0.000892,0.000892
94,9876.63,0.62731,0.41007,1.25266,0.9291,0.90243,0.95524,0.74907,0.81272,0.51117,1.35361,0.000793,0.000793,0.000793
95,9980.22,0.61973,0.40716,1.2447,0.92663,0.9043,0.95498,0.74992,0.81151,0.50971,1.35317,0.000694,0.000694,0.000694
96,10084.3,0.62184,0.40509,1.24502,0.92504,0.90366,0.9549,0.75065,0.81056,0.50809,1.35204,0.000595,0.000595,0.000595
97,10188.6,0.6154,0.39713,1.24162,0.92096,0.9063,0.95442,0.75152,0.80961,0.50709,1.35142,0.000496,0.000496,0.000496
98,10292.8,0.61298,0.3954,1.23933,0.92297,0.90661,0.95437,0.75225,0.80915,0.50553,1.35128,0.000397,0.000397,0.000397
99,10397,0.603,0.38663,1.22887,0.92303,0.90714,0.95441,0.75206,0.80917,0.50505,1.35177,0.000298,0.000298,0.000298
100,10500.8,0.60049,0.38555,1.2259,0.92707,0.90499,0.95448,0.75206,0.8087,0.50414,1.35174,0.000199,0.000199,0.000199
